ComicID,CharacterID
161,3145
161,3221
161,3224
161,3226
161,2741
161,3199
162,3221
162,3224
162,2741
162,77747
162,3199
163,3145
163,3221
163,3224
163,3291
163,2741
163,3199
164,3145
164,3221
164,3224
164,3291
164,2741
164,3199
164,32527
165,2745
165,3222
165,3226
165,3263
165,2741
165,3249
165,3225
165,3199
166,155
166,144
166,150
166,1698
166,157
166,140
166,1562
166,139
166,3845
166,146
166,143
166,5872
166,154
166,138
166,16332
166,5595
166,142
166,156
166,149
166,1252
166,151
166,141
166,158
166,665
167,3241
167,3236
167,32557
167,3226
167,3238
167,32556
167,2741
167,3249
167,3229
167,3237
167,3199
168,32558
168,3226
168,2741
168,3199
170,137
171,137
172,137
173,137
174,137
175,22437
175,262
175,52977
175,62551
175,22426
175,22427
176,55457
176,159
176,41522
177,52977
177,22426
177,22427
178,33443
178,55457
178,159
178,41522
178,68300
185,160
186,43278
186,33651
186,56060
186,43279
186,43285
186,43281
186,43282
186,43283
186,41336
186,31036
186,41327
187,161
188,43278
188,33651
188,56060
188,42408
188,43279
188,43285
188,43280
188,43281
188,43282
188,43284
188,41325
188,41336
188,31036
188,41327
189,43278
189,6007
189,33651
189,43286
189,56060
189,42408
189,43279
189,43285
189,43280
189,43281
189,43282
189,41324
189,43284
189,43283
189,41325
189,41336
189,41319
189,31036
191,169
191,168
191,3685
191,3686
192,193
192,180
192,8150
192,337
192,48
192,208
192,295
192,7484
192,8154
192,1735
192,8158
192,1736
192,52
192,10269
192,46861
192,4209
192,29
192,1228
192,59747
192,397
192,8166
192,9852
192,203
192,202
192,2535
192,189
192,218
192,9258
192,8161
192,8144
192,105
192,8162
192,282
192,1136
192,29550
192,8169
192,8163
192,7481
192,2538
192,194
192,2536
192,161
192,1365
192,199
192,211
192,8164
192,149
192,7482
192,72
192,8165
192,1222
192,96
192,2539
192,217
192,204
192,181
192,7483
192,205
192,39800
192,1233
192,2540
192,39802
192,390
192,39799
192,200
192,8171
192,392
192,106
192,206
193,563
193,193
193,1177
193,337
193,4818
193,48
193,719
193,391
193,253
193,208
193,291
193,277
193,1694
193,4849
193,270
193,52
193,1275
193,21853
193,4209
193,97
193,29
193,1228
193,9579
193,5106
193,157
193,4850
193,140
193,139
193,203
193,202
193,12331
193,189
193,105
193,282
193,138
193,449
193,19057
193,9281
193,4950
193,194
193,1365
193,199
193,1598
193,211
193,149
193,4817
193,698
193,96
193,141
193,204
193,205
193,1233
193,390
193,4851
193,200
193,392
193,393
193,106
193,206
193,1082
194,1203
194,2406
194,395
194,193
194,337
194,1700
194,48
194,12
194,719
194,6441
194,394
194,391
194,3585
194,5733
194,253
194,714
194,59592
194,208
194,257
194,3253
194,2041
194,315
194,295
194,3945
194,360
194,346
194,314
194,4927
194,51085
194,1735
194,6718
194,662
194,42
194,3091
194,270
194,51
194,52
194,4971
194,5382
194,4209
194,97
194,35
194,34
194,37
194,29
194,3534
194,687
194,6303
194,1228
194,8543
194,10374
194,3247
194,157
194,1046
194,203
194,382
194,381
194,3092
194,1813
194,1678
194,479
194,12331
194,189
194,218
194,2191
194,964
194,105
194,8521
194,2438
194,3458
194,3887
194,333
194,167
194,478
194,199
194,4415
194,1598
194,950
194,211
194,149
194,540
194,5251
194,5243
194,5224
194,25423
194,389
194,3131
194,9792
194,96
194,1767
194,204
194,3536
194,1745
194,2736
194,6021
194,390
194,1612
194,392
194,393
194,106
194,206
194,1082
195,2974
195,2480
195,17872
195,547
195,4749
195,2574
195,1203
195,919
195,2406
195,395
195,13465
195,25560
195,193
195,4832
195,1693
195,11494
195,337
195,5275
195,476
195,522
195,1805
195,48
195,1702
195,12
195,276
195,2399
195,3114
195,368
195,719
195,288
195,394
195,361
195,1451
195,9759
195,391
195,3038
195,3585
195,1310
195,437
195,1201
195,3518
195,2489
195,6903
195,1008
195,254
195,3174
195,2037
195,7282
195,647
195,11495
195,7472
195,208
195,291
195,1596
195,491
195,492
195,257
195,2936
195,3253
195,6023
195,605
195,2407
195,3087
195,886
195,7425
195,489
195,490
195,15502
195,6712
195,637
195,6032
195,3123
195,3182
195,1026
195,6538
195,5632
195,9379
195,2251
195,9760
195,11930
195,152
195,310
195,3855
195,371
195,560
195,4680
195,263
195,5236
195,2401
195,2244
195,3945
195,360
195,438
195,345
195,346
195,588
195,7432
195,4104
195,2402
195,144
195,13241
195,170
195,13829
195,314
195,15707
195,1735
195,256
195,6718
195,2606
195,2516
195,662
195,37240
195,865
195,42
195,4855
195,17083
195,3091
195,270
195,50
195,51
195,52
195,2400
195,9533
195,262
195,2668
195,1811
195,6151
195,1275
195,17107
195,4812
195,4496
195,7653
195,16982
195,13851
195,1699
195,4971
195,5382
195,2482
195,13242
195,3498
195,4209
195,97
195,98
195,35
195,29
195,3534
195,14824
195,687
195,4746
195,4834
195,1228
195,130
195,10374
195,103
195,9579
195,347
195,43098
195,1218
